"time","station","Cond","DOpct","Sal","Temp","Turb","pH"
2022-04-15 20:45:00.000 -0400,Ada,537.5,194.1,0.33,9.26,10.57,14.22
2022-04-15 21:00:00.000 -0400,Ada,533.4,194.6,0.33,9.27,11.44,14.25
2022-04-15 21:15:00.000 -0400,Ada,528.6,194.9,0.33,9.26,10.92,14.03
2022-04-15 21:30:00.000 -0400,Ada,531.5,196.1,0.33,9.26,12.84,14.0
2022-04-15 21:45:00.000 -0400,Ada,530.9,195.6,0.33,9.26,13.5,14.23
2022-04-15 22:00:00.000 -0400,Ada,527.6,197.1,0.33,9.27,11.01,13.84
2022-04-15 22:15:00.000 -0400,Ada,528.9,195.0,0.33,9.26,11.55,14.15
2022-04-15 22:30:00.000 -0400,Ada,528.7,194.9,0.33,9.25,15.98,14.06
2022-04-15 22:45:00.000 -0400,Ada,529.7,195.4,0.33,9.25,13.58,14.18
2022-04-15 23:00:00.000 -0400,Ada,531.2,192.2,0.33,9.25,17.5,14.08
2022-04-15 23:15:00.000 -0400,Ada,529.7,195.4,0.33,9.25,12.36,14.0
2022-04-15 23:30:00.000 -0400,Ada,529.2,193.4,0.33,9.24,12.39,14.03
2022-04-15 23:45:00.000 -0400,Ada,531.6,195.9,0.33,9.26,10.95,13.93
2022-04-16 00:00:00.000 -0400,Ada,524.9,192.3,0.33,9.25,12.76,14.0
2022-04-16 00:15:00.000 -0400,Ada,526.4,195.8,0.33,9.26,11.84,13.9
2022-04-16 00:30:00.000 -0400,Ada,525.3,193.8,0.33,9.25,12.83,14.01
2022-04-16 00:45:00.000 -0400,Ada,526.1,194.4,0.33,9.25,11.55,13.81
2022-04-16 01:00:00.000 -0400,Ada,527.6,193.2,0.33,9.25,12.11,13.86
2022-04-16 01:15:00.000 -0400,Ada,530.3,193.0,0.33,9.24,12.01,13.98
2022-04-16 01:30:00.000 -0400,Ada,528.9,195.0,0.33,9.26,14.07,13.9
2022-04-16 01:45:00.000 -0400,Ada,527.6,194.7,0.33,9.25,12.28,13.74
2022-04-16 02:00:00.000 -0400,Ada,527.6,185.3,0.33,9.23,13.16,13.9
2022-04-16 02:15:00.000 -0400,Ada,528.3,191.1,0.33,9.25,12.44,13.79
2022-04-16 02:30:00.000 -0400,Ada,530.4,188.2,0.33,9.22,15.8,13.79
2022-04-16 02:45:00.000 -0400,Ada,531.2,177.8,0.33,9.17,11.37,13.65
2022-04-16 03:00:00.000 -0400,Ada,531.4,185.4,0.33,9.15,10.75,13.93
2022-04-16 03:15:00.000 -0400,Ada,535.1,183.4,0.33,9.19,12.18,13.82
2022-04-16 03:30:00.000 -0400,Ada,530.5,187.3,0.33,9.2,13.05,13.77
2022-04-16 03:45:00.000 -0400,Ada,527.2,181.0,0.33,9.16,14.6,13.78
2022-04-16 04:00:00.000 -0400,Ada,525.1,181.1,0.33,9.06,13.27,13.69
2022-04-16 04:15:00.000 -0400,Ada,530.5,178.9,0.33,9.15,10.63,13.76
2022-04-16 04:30:00.000 -0400,Ada,530.7,176.9,0.33,9.13,11.43,13.78
2022-04-16 04:45:00.000 -0400,Ada,533.2,179.0,0.33,9.15,12.39,13.72
2022-04-16 05:00:00.000 -0400,Ada,530.2,169.7,0.33,9.1,11.52,13.78
2022-04-16 05:15:00.000 -0400,Ada,533.7,178.3,0.33,9.15,11.34,13.66
2022-04-16 05:30:00.000 -0400,Ada,534.6,180.6,0.33,9.18,10.34,13.69
2022-04-16 05:45:00.000 -0400,Ada,534.6,181.7,0.33,9.16,10.75,13.73
2022-04-16 06:00:00.000 -0400,Ada,536.7,174.9,0.34,9.09,10.98,13.75
2022-04-16 06:15:00.000 -0400,Ada,534.8,175.4,0.34,9.07,10.91,13.61
2022-04-16 06:30:00.000 -0400,Ada,543.6,176.5,0.34,9.13,10.8,13.69
2022-04-16 06:45:00.000 -0400,Ada,538.3,177.0,0.34,9.13,10.52,13.7
2022-04-16 07:00:00.000 -0400,Ada,532.3,153.8,0.33,9.04,11.45,13.46
2022-04-16 07:15:00.000 -0400,Ada,528.1,155.9,0.33,8.49,11.32,13.71
2022-04-16 07:30:00.000 -0400,Ada,531.7,131.0,0.33,8.32,11.4,13.54
2022-04-16 07:45:00.000 -0400,Ada,531.1,139.5,0.33,8.42,11.11,13.42
2022-04-16 08:00:00.000 -0400,Ada,529.5,127.7,0.33,8.38,11.93,13.45
2022-04-16 08:15:00.000 -0400,Ada,528.1,125.6,0.33,8.26,12.45,13.51
2022-04-16 08:30:00.000 -0400,Ada,546.8,150.9,0.34,8.42,10.03,13.45
2022-04-16 08:45:00.000 -0400,Ada,537.6,163.0,0.34,8.65,13.14,13.51
2022-04-16 09:00:00.000 -0400,Ada,537.7,158.4,0.34,8.76,11.95,13.48
