"time","station","Cond","DOpct","Sal","Temp","Turb","pH"
2024-03-14 17:15:00.000 -0400,Ada,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14 17:45:00.000 -0400,Ada,1388.0,79.96,0.66,27.13,8.44,7.03
2024-03-14 18:00:00.000 -0400,Ada,446.6,112.9,0.31,9.75,2.75,7.58
2024-03-14 18:15:00.000 -0400,Ada,446.0,118.3,0.31,9.65,2.74,7.63
2024-03-14 18:30:00.000 -0400,Ada,445.1,113.9,0.31,9.94,2.87,7.57
2024-03-14 18:45:00.000 -0400,Ada,443.5,115.0,0.31,9.77,2.81,7.52
2024-03-14 19:00:00.000 -0400,Ada,442.2,113.7,0.31,9.71,2.73,7.49
2024-03-14 19:15:00.000 -0400,Ada,442.4,115.5,0.31,9.68,2.93,7.51
2024-03-14 19:30:00.000 -0400,Ada,443.9,114.5,0.31,9.75,2.73,7.52
2024-03-14 19:45:00.000 -0400,Ada,443.4,114.1,0.31,9.73,2.85,7.55
2024-03-14 20:00:00.000 -0400,Ada,442.7,116.6,0.31,9.79,2.64,7.53
2024-03-14 20:15:00.000 -0400,Ada,446.7,115.7,0.31,10.01,2.77,7.58
2024-03-14 20:30:00.000 -0400,Ada,442.8,114.9,0.31,9.59,2.71,7.54
2024-03-14 20:45:00.000 -0400,Ada,440.4,113.9,0.31,9.58,2.71,7.52
2024-03-14 21:00:00.000 -0400,Ada,444.1,114.0,0.31,9.87,2.76,7.51
2024-03-14 21:15:00.000 -0400,Ada,445.1,113.8,0.31,9.81,2.74,7.53
2024-03-14 21:30:00.000 -0400,Ada,447.6,114.1,0.31,10.01,2.62,7.56
2024-03-14 21:45:00.000 -0400,Ada,446.8,109.6,0.31,9.59,2.71,7.53
2024-03-14 22:00:00.000 -0400,Ada,441.1,112.9,0.3,9.78,2.47,7.5
2024-03-14 22:15:00.000 -0400,Ada,440.2,110.7,0.3,9.69,2.44,7.49
2024-03-14 22:30:00.000 -0400,Ada,442.0,109.7,0.3,9.83,2.42,7.5
2024-03-14 22:45:00.000 -0400,Ada,438.4,109.5,0.3,9.79,2.38,7.5
2024-03-14 23:00:00.000 -0400,Ada,436.8,109.0,0.3,9.6,2.41,7.5
2024-03-14 23:15:00.000 -0400,Ada,442.3,112.8,0.31,9.66,2.51,7.5
2024-03-14 23:30:00.000 -0400,Ada,442.3,111.4,0.3,9.81,2.52,7.5
2024-03-14 23:45:00.000 -0400,Ada,444.6,113.3,0.31,9.81,2.52,7.53
2024-03-15 00:00:00.000 -0400,Ada,443.3,113.2,0.31,9.78,2.53,7.55
2024-03-15 00:15:00.000 -0400,Ada,443.9,111.9,0.31,9.72,2.75,7.54
2024-03-15 00:30:00.000 -0400,Ada,444.4,113.8,0.31,9.74,2.57,7.54
2024-03-15 00:45:00.000 -0400,Ada,444.1,113.5,0.31,9.8,2.62,7.54
2024-03-15 01:00:00.000 -0400,Ada,444.6,113.6,0.31,9.83,2.67,7.54
2024-03-15 01:15:00.000 -0400,Ada,446.4,113.2,0.31,9.83,2.55,7.54
2024-03-15 01:30:00.000 -0400,Ada,444.9,112.5,0.31,9.84,2.55,7.54
2024-03-15 01:45:00.000 -0400,Ada,443.0,113.2,0.31,9.77,2.52,7.54
2024-03-15 02:00:00.000 -0400,Ada,442.1,114.2,0.31,9.73,2.67,7.55
2024-03-15 02:15:00.000 -0400,Ada,443.3,113.8,0.31,9.74,2.61,7.57
2024-03-15 02:30:00.000 -0400,Ada,446.9,112.7,0.31,10.0,2.55,7.55
2024-03-15 02:45:00.000 -0400,Ada,445.0,113.3,0.31,9.75,2.57,7.53
2024-03-15 03:00:00.000 -0400,Ada,443.8,113.0,0.31,9.75,2.62,7.54
2024-03-15 03:15:00.000 -0400,Ada,443.2,111.7,0.31,9.77,2.53,7.51
2024-03-15 03:30:00.000 -0400,Ada,446.7,111.8,0.31,9.99,2.67,7.56
2024-03-15 03:45:00.000 -0400,Ada,447.9,110.9,0.31,10.0,2.57,7.57
2024-03-15 04:00:00.000 -0400,Ada,445.9,111.0,0.31,9.9,2.54,7.56
2024-03-15 04:15:00.000 -0400,Ada,445.9,111.1,0.31,9.89,2.65,7.55
2024-03-15 04:30:00.000 -0400,Ada,443.0,111.7,0.31,9.76,2.54,7.54
2024-03-15 04:45:00.000 -0400,Ada,444.7,110.8,0.31,9.8,2.31,7.51
2024-03-15 05:00:00.000 -0400,Ada,443.6,111.4,0.31,9.69,2.44,7.51
2024-03-15 05:15:00.000 -0400,Ada,444.1,111.4,0.31,9.7,2.39,7.51
2024-03-15 05:30:00.000 -0400,Ada,441.9,111.8,0.31,9.66,2.41,7.51
2024-03-15 05:45:00.000 -0400,Ada,443.4,111.7,0.31,9.67,2.55,7.52
2024-03-15 06:00:00.000 -0400,Ada,446.5,112.1,0.31,9.78,2.41,7.53
2024-03-15 06:15:00.000 -0400,Ada,444.5,110.4,0.31,9.76,2.42,7.54
2024-03-15 06:30:00.000 -0400,Ada,445.0,110.6,0.31,9.76,2.52,7.54
2024-03-15 06:45:00.000 -0400,Ada,448.0,110.7,0.31,9.86,2.49,7.53
2024-03-15 07:00:00.000 -0400,Ada,446.4,110.5,0.31,9.77,2.48,7.53
2024-03-15 07:15:00.000 -0400,Ada,447.2,109.0,0.31,9.88,2.25,7.52
2024-03-15 07:30:00.000 -0400,Ada,446.5,108.8,0.31,9.81,2.43,7.51
2024-03-15 07:45:00.000 -0400,Ada,445.7,109.0,0.31,9.79,2.2,7.51
2024-03-15 08:00:00.000 -0400,Ada,444.0,109.5,0.31,9.75,2.35,7.51
2024-03-15 08:15:00.000 -0400,Ada,446.8,109.1,0.31,9.82,2.43,7.5
2024-03-15 08:30:00.000 -0400,Ada,447.2,108.8,0.31,9.86,2.22,7.51
2024-03-15 08:45:00.000 -0400,Ada,445.7,109.0,0.31,9.81,2.31,7.51
2024-03-15 09:00:00.000 -0400,Ada,446.8,108.4,0.31,9.83,2.46,7.51
2024-03-15 09:15:00.000 -0400,Ada,448.2,109.1,0.31,9.92,2.49,7.52
2024-03-15 09:30:00.000 -0400,Ada,445.8,109.7,0.31,9.82,2.53,7.54
2024-03-15 09:45:00.000 -0400,Ada,446.4,110.6,0.31,9.85,2.71,7.52
2024-03-15 10:00:00.000 -0400,Ada,445.1,111.6,0.31,9.78,2.54,7.53
2024-03-15 10:15:00.000 -0400,Ada,445.8,111.7,0.31,9.83,2.51,7.53
2024-03-15 10:30:00.000 -0400,Ada,448.8,110.9,0.31,9.9,2.63,7.55
2024-03-15 10:45:00.000 -0400,Ada,443.8,114.1,0.31,9.76,2.7,7.57
2024-03-15 11:00:00.000 -0400,Ada,443.5,112.1,0.31,9.81,2.76,7.55
2024-03-15 11:15:00.000 -0400,Ada,442.3,112.5,0.3,9.92,2.57,7.56
2024-03-15 11:30:00.000 -0400,Ada,446.2,112.7,0.31,10.02,2.66,7.56
2024-03-15 11:45:00.000 -0400,Ada,446.9,112.2,0.31,10.07,2.57,7.56
2024-03-15 12:00:00.000 -0400,Ada,453.5,112.2,0.31,10.22,2.46,7.58
2024-03-15 12:15:00.000 -0400,Ada,451.2,110.9,0.31,10.23,2.59,7.56
2024-03-15 12:30:00.000 -0400,Ada,457.2,113.3,0.31,10.57,2.41,7.58
2024-03-15 12:45:00.000 -0400,Ada,449.2,115.2,0.31,10.11,2.6,7.58
2024-03-15 13:00:00.000 -0400,Ada,459.3,112.1,0.31,10.59,2.43,7.55
2024-03-15 13:15:00.000 -0400,Ada,455.7,116.3,0.31,10.19,2.82,7.58
2024-03-15 13:30:00.000 -0400,Ada,446.0,117.8,0.31,9.81,2.75,7.57
2024-03-15 13:45:00.000 -0400,Ada,467.8,118.1,0.31,11.1,2.39,7.62
2024-03-15 14:00:00.000 -0400,Ada,464.0,110.4,0.31,11.6,2.18,7.63
2024-03-15 14:15:00.000 -0400,Ada,457.2,117.5,0.31,10.49,2.59,7.68
2024-03-15 14:30:00.000 -0400,Ada,448.0,120.9,0.31,9.88,2.83,7.67
2024-03-15 14:45:00.000 -0400,Ada,450.6,121.0,0.31,10.05,2.82,7.63
2024-03-15 15:00:00.000 -0400,Ada,453.3,120.1,0.31,10.29,2.72,7.63
2024-03-15 15:15:00.000 -0400,Ada,455.2,120.7,0.31,10.47,2.73,7.67
2024-03-15 15:30:00.000 -0400,Ada,450.3,121.2,0.31,10.19,2.66,7.67
2024-03-15 15:45:00.000 -0400,Ada,450.4,120.4,0.31,10.29,2.79,7.63
2024-03-15 16:00:00.000 -0400,Ada,453.0,119.1,0.31,10.52,2.55,7.63
2024-03-15 16:15:00.000 -0400,Ada,452.8,119.9,0.31,10.51,2.64,7.61
2024-03-15 16:30:00.000 -0400,Ada,455.7,119.5,0.31,10.76,2.64,7.65
2024-03-15 16:45:00.000 -0400,Ada,452.1,120.8,0.31,10.27,2.72,7.63
